Token;English;Russian;German;Spanish;Czech;Dutch;French;Japanese;Korean;Polish;Portuguese_Brazilian;Turkish;Ukrainian;Chinese;Chinese_Trad
pw_ward_offering_thunderstone_description;offer a thunder stone, and the ward will wake the storm against enemies on ward-linked ground;преподнести громовой камень, и оберег пробудит бурю против врагов на земле, связанной оберегами;opfere einen Donnerstein, und der Wächterstein weckt den Sturm gegen Feinde auf durch Wächtersteine verbundenem Boden;ofrece una piedra del trueno, y la estatua guardiana despertará la tormenta contra enemigos en tierras unidas por estatuas guardianas;obětuj hromový kámen a strážce probudí bouři proti nepřátelům na půdě spojené strážci;offer een dondersteen, en de verzegeling wekt de storm tegen vijanden op door verzegelingen verbonden grond;offre une pierre de tonnerre, et la balise éveillera l’orage contre les ennemis des terres liées par les balises;雷の石を捧げると、守護石が嵐を呼び起こし、守護石で結ばれた地の敵を討つ;천둥석을 바치면 경비석이 폭풍을 깨워 경비석으로 이어진 땅의 적을 칩니다;ofiaruj kamień grzmotu, a kamień strażniczy obudzi burzę przeciw wrogom na ziemi powiązanej kamieniami strażniczymi;ofereça uma pedra do trovão, e a proteção despertará a tempestade contra inimigos nas terras ligadas por proteções;şimşek taşını ada, nazarlık fırtınayı uyandırıp nazarlıklara bağlı topraklardaki düşmanlara saldırsın;принесіть громовий камінь, і оберіг пробудить бурю проти ворогів на землі, пов’язаній оберегами;献上雷电石，守护石会唤醒风暴，打击守护石相连之地的敌人;獻上雷電石，保護石會喚醒風暴，打擊保護石相連之地的敵人
pw_ward_offering_trophies_description;hang a trophy before the ward, and creatures of the same kind on ward-linked ground will perish;повесить трофей перед оберегом, и существа того же вида на земле, связанной оберегами, погибнут;hänge eine Trophäe vor den Wächterstein, und Kreaturen derselben Art auf durch Wächtersteine verbundenem Boden werden vergehen;cuelga un trofeo ante la estatua guardiana, y las criaturas de la misma especie en tierras unidas por estatuas guardianas perecerán;pověs trofej před strážcem a tvorové stejného druhu na půdě spojené strážci zahynou;hang een trofee voor de verzegeling, en wezens van dezelfde soort op door verzegelingen verbonden grond zullen vergaan;suspends un trophée devant la balise, et les créatures du même genre sur les terres liées par les balises périront;トロフィーを守護石の前に掲げると、守護石で結ばれた地の同じ種の生き物が滅びる;트로피를 경비석 앞에 걸면 경비석으로 이어진 땅의 같은 종류 생명체가 쓰러집니다;zawieś trofeum przed kamieniem strażniczym, a stworzenia tego samego rodzaju na ziemi powiązanej kamieniami strażniczymi zginą;pendure um troféu diante da proteção, e criaturas do mesmo tipo nas terras ligadas por proteções perecerão;nazarlığın önüne bir kupa as, nazarlıklara bağlı topraklardaki aynı tür yaratıklar yok olsun;повісьте трофей перед оберегом, і істоти того самого виду на землі, пов’язаній оберегами, загинуть;在守护石前悬挂战利品，守护石相连之地的同类生物将会消亡;在保護石前懸掛戰利品，保護石相連之地的同類生物將會消亡
pw_ward_offering_bosstrophies;Boss trophy;Трофей босса;Boss-Trophäe;Trofeo de jefe;Trofej bosse;Baas-trofee;Trophée de boss;ボストロフィー;보스 트로피;Trofeum bossa;Troféu de chefe;Boss kupası;Трофей боса;首领战利品;首領戰利品
pw_ward_offering_bosstrophies_description;show a boss trophy to summon a Valkyrie for a flight to the Sacrificial Stones;показать трофей босса, чтобы призвать валькирию для полёта к Жертвенным камням;zeige eine Boss-Trophäe, um eine Walküre zum Flug zu den Opfersteinen zu rufen;muestra un trofeo de jefe para llamar a una valquiria en vuelo hacia las piedras de sacrificio;ukaž trofej bosse a přivolej valkýru k letu k Obětním kamenům;toon een baas-trofee om een valkyrie op te roepen voor een vlucht naar de Offerstenen;montre un trophée de boss pour appeler une Valkyrie en vol vers les Pierres sacrificielles;ボストロフィーを示し、犠牲の石へ飛ぶヴァルキリーを呼ぶ;보스 트로피를 보이면 제물의 돌로 날아갈 발키리를 부릅니다;pokaż trofeum bossa, aby wezwać Walkirię do lotu ku Kamieniom Ofiarnym;mostre um troféu de chefe para chamar uma Valquíria em voo até as pedras de sacrifício;boss kupasını göstererek Kurban Taşları’na uçacak bir Valkyrie çağır;покажіть трофей боса, щоб покликати валькірію в політ до Священних каменів;展示首领战利品，召唤女武神飞往献祭石;展示首領戰利品，召喚女武神飛往獻祭石碑
pw_ward_offering_bosstrophies_consumed_description;offer a boss trophy to summon a Valkyrie for a flight to the Sacrificial Stones;отдать трофей босса, чтобы призвать валькирию для полёта к Жертвенным камням;opfere eine Boss-Trophäe, um eine Walküre zum Flug zu den Opfersteinen zu rufen;entrega un trofeo de jefe para llamar a una valquiria en vuelo hacia las piedras de sacrificio;obětuj trofej bosse a přivolej valkýru k letu k Obětním kamenům;offer een baas-trofee om een valkyrie op te roepen voor een vlucht naar de Offerstenen;offre un trophée de boss pour appeler une Valkyrie en vol vers les Pierres sacrificielles;ボストロフィーを捧げ、犠牲の石へ飛ぶヴァルキリーを呼ぶ;보스 트로피를 바치면 제물의 돌로 날아갈 발키리를 부릅니다;oddaj trofeum bossa, aby wezwać Walkirię do lotu ku Kamieniom Ofiarnym;ofereça um troféu de chefe para chamar uma Valquíria em voo até as pedras de sacrifício;boss kupasını ada ve Kurban Taşları’na uçacak bir Valkyrie çağır;віддайте трофей боса, щоб покликати валькірію в політ до Священних каменів;献上首领战利品，召唤女武神飞往献祭石;獻上首領戰利品，召喚女武神飛往獻祭石碑
pw_ward_offering_ymirremains_description;lay Ymir flesh at the ward, and crops on ward-linked ground will hurry toward harvest;положить плоть Имира к оберегу, и растения на земле, связанной оберегами, поспешат к урожаю;lege Ymirs Fleisch an den Wächterstein, und Pflanzen auf durch Wächtersteine verbundenem Boden eilen der Ernte entgegen;deja carne de Ymir junto a la estatua guardiana, y los cultivos en tierras unidas por estatuas guardianas correrán hacia la cosecha;polož Ymirovo maso ke strážci a rostliny na půdě spojené strážci pospíší ke sklizni;leg Ymirs vlees bij de verzegeling, en gewassen op door verzegelingen verbonden grond haasten zich naar de oogst;dépose de la chair d’Ymir auprès de la balise, et les cultures des terres liées par les balises hâteront leur récolte;ユミルの肉を守護石に供えると、守護石で結ばれた地の作物が収穫へ急ぐ;이미르의 살점을 경비석에 놓으면 경비석으로 이어진 땅의 작물이 수확을 향해 서두릅니다;złóż ciało Ymira przy kamieniu strażniczym, a uprawy na ziemi powiązanej kamieniami strażniczymi pospieszą ku zbiorom;deposite carne de Ymir junto à proteção, e as plantações nas terras ligadas por proteções correrão para a colheita;Ymir etini nazarlığın yanına bırak, nazarlıklara bağlı topraklardaki ekinler hasada doğru acele etsin;покладіть плоть Іміра біля оберега, і рослини на землі, пов’язаній оберегами, поспішать до врожаю;将尤弥尔之身放在守护石旁，守护石相连之地的作物会迅速成熟;將尤彌爾血肉放在保護石旁，保護石相連之地的作物會迅速成熟
pw_ward_offering_eitr_description;imbue the ward with refined Eitr, and plants will take root where the land would normally refuse them;напитать оберег переработанным эйтром, и растения пустят корни даже там, где земля обычно им противится;durchtränke den Wächterstein mit verfeinertem Eitr, und Pflanzen schlagen Wurzeln, wo die Erde sie sonst verweigert;imbuye a la estatua guardiana con eitr refinado, y las plantas echarán raíz donde la tierra normalmente las rechazaría;napoj strážce zpracovaným Éitrem a rostliny zakoření i tam, kde by je země obvykle odmítla;doordrenk de verzegeling met Refined Eitr, en planten wortelen waar de grond ze normaal zou weigeren;imprègne la balise d’eitr raffiné, et les plantes prendront racine là où la terre les refuserait d’ordinaire;精製エイトルを守護石に染み込ませると、本来なら拒む土地にも植物が根を下ろす;정제된 에이트르로 경비석을 물들이면 땅이 보통 거부할 곳에도 식물이 뿌리내립니다;nasyć kamień strażniczy rafinowanym eitrem, a rośliny zapuszczą korzenie tam, gdzie ziemia zwykle by je odrzuciła;imbua a proteção com Éter refinado, e plantas criarão raízes onde a terra normalmente as recusaria;nazarlığı arıtılmış eitr ile işle, bitkiler toprağın normalde reddedeceği yerde bile kök salsın;просочіть оберіг очищеним ейтіром, і рослини пустять коріння навіть там, де земля зазвичай їм опирається;以埃达精华浸润守护石，植物会在平常抗拒它们的土地上扎根;以精煉的巨蛇之毒浸潤保護石，植物會在平常抗拒它們的土地上扎根
pw_ward_offering_dragonegg_description;present a dragon egg after Moder has fallen, and her power will pass to players on ward-linked ground;после победы над Матерью преподнести драконье яйцо, и её сила перейдёт к игрокам на земле, связанной оберегами;bringe ein Drachenei dar, nachdem Moder gefallen ist, und ihre Macht geht auf Spieler auf durch Wächtersteine verbundenem Boden über;presenta un huevo de dragón tras la caída de Moder, y su poder pasará a los jugadores en tierras unidas por estatuas guardianas;předlož dračí vejce po pádu Moder a její moc přejde na hráče na půdě spojené strážci;bied een drakenei aan nadat Moder is gevallen, en haar kracht gaat over op spelers op door verzegelingen verbonden grond;présente un œuf de dragon après la chute de Moder, et son pouvoir passera aux joueurs des terres liées par les balises;モデルを倒した後にドラゴンの卵を捧げると、その力が守護石で結ばれた地のプレイヤーへ渡る;모더가 쓰러진 뒤 용의 알을 바치면 그녀의 힘이 경비석으로 이어진 땅의 플레이어에게 전해집니다;przedstaw smocze jajo po upadku Moder, a jej moc przejdzie na graczy na ziemi powiązanej kamieniami strażniczymi;apresente um ovo de dragão depois da queda de Moder, e o poder dela passará aos jogadores nas terras ligadas por proteções;Moder düştükten sonra bir ejderha yumurtası sun, onun gücü nazarlıklara bağlı topraklardaki oyunculara geçsin;після перемоги над Матір’ю піднесіть драконяче яйце, і її сила перейде до гравців на землі, пов’язаній оберегами;击败冰霜龙母后献上龙蛋，她的力量会传给守护石相连之地的玩家;擊敗摩德寒冰龍後獻上龍蛋，她的力量會傳給保護石相連之地的玩家
pw_ward_offering_coins_description;pay the trader’s price to summon a Valkyrie for a flight to Haldor;заплатить цену торговца, чтобы призвать валькирию для полёта к Хальдору;zahle den Preis des Händlers, um eine Walküre zum Flug zu Haldor zu rufen;paga el precio del mercader para llamar a una valquiria en vuelo hacia Haldor;zaplať cenu obchodníka a přivolej valkýru k letu za Haldorem;betaal de prijs van de handelaar om een valkyrie op te roepen voor een vlucht naar Haldor;paie le prix du marchand pour appeler une Valkyrie en vol vers Haldor;商人の代価を払い、ハルドールへ飛ぶヴァルキリーを呼ぶ;상인의 값을 치르고 할도르에게 날아갈 발키리를 부릅니다;zapłać cenę kupca, aby wezwać Walkirię do lotu ku Haldorowi;pague o preço do mercador para chamar uma Valquíria em voo até Haldor;tüccarın bedelini ödeyerek Haldor’a uçacak bir Valkyrie çağır;сплатіть ціну торговця, щоб покликати валькірію в політ до Гальдора;支付商人的价钱，召唤女武神飞往霍尔德;支付商人的價錢，召喚女武神飛往哈爾多
pw_ward_offering_hildirchest;Hildir’s chest;Сундук Хильдир;Hildirs Truhe;Cofre de Hildir;Hildiřina truhla;Hildirs kist;Coffre de Hildir;ヒルディルの宝箱;힐디르의 상자;Skrzynia Hildir;Baú de Hildir;Hildir’in sandığı;Скриня Гільдір;希尔德的宝箱;希爾德的寶箱
pw_ward_offering_hildirchest_description;show one of Hildir’s chests to summon a Valkyrie for a flight to Hildir, and the chest will remain with you;показать один из сундуков Хильдир, чтобы призвать валькирию для полёта к Хильдир, и сундук останется при тебе;zeige eine von Hildirs Truhen, um eine Walküre zum Flug zu Hildir zu rufen, und die Truhe bleibt bei dir;muestra uno de los cofres de Hildir para llamar a una valquiria en vuelo hacia Hildir, y el cofre seguirá contigo;ukaž jednu z Hildiřiných truhel a přivolej valkýru k letu za Hildir, truhla ti zůstane;toon een van Hildirs kisten om een valkyrie op te roepen voor een vlucht naar Hildir, en de kist blijft bij je;montre l’un des coffres de Hildir pour appeler une Valkyrie en vol vers Hildir, et le coffre restera avec toi;ヒルディルの宝箱を一つ示すと、ヒルディルへ飛ぶヴァルキリーを呼べる。宝箱は手元に残る;힐디르의 상자 하나를 보이면 힐디르에게 날아갈 발키리를 부릅니다. 상자는 그대로 남습니다;pokaż jedną ze skrzyń Hildir, aby wezwać Walkirię do lotu ku Hildir, a skrzynia zostanie przy tobie;mostre um dos baús de Hildir para chamar uma Valquíria em voo até Hildir, e o baú continuará com você;Hildir’in sandıklarından birini göstererek Hildir’e uçacak bir Valkyrie çağır, sandık sende kalır;покажіть одну зі скринь Гільдір, щоб покликати валькірію в політ до Гільдір, і скриня залишиться у вас;展示一个希尔德的宝箱，召唤女武神飞往希尔德，宝箱仍会留在你身边;展示一個希爾德的寶箱，召喚女武神飛往希爾德，寶箱仍會留在你身邊
pw_ward_offering_hildiritem_description;offer a useful tribute to summon a Valkyrie for a flight to Hildir;преподнести полезное подношение, чтобы призвать валькирию для полёта к Хильдир;bringe eine nützliche Gabe dar, um eine Walküre zum Flug zu Hildir zu rufen;ofrece un tributo útil para llamar a una valquiria en vuelo hacia Hildir;přines užitečnou poctu a přivolej valkýru k letu za Hildir;bied een nuttige gave aan om een valkyrie op te roepen voor een vlucht naar Hildir;offre un tribut utile pour appeler une Valkyrie en vol vers Hildir;役立つ捧げ物を供え、ヒルディルへ飛ぶヴァルキリーを呼ぶ;쓸모 있는 공물을 바쳐 힐디르에게 날아갈 발키리를 부릅니다;złóż przydatną daninę, aby wezwać Walkirię do lotu ku Hildir;ofereça um tributo útil para chamar uma Valquíria em voo até Hildir;yararlı bir adak sunarak Hildir’e uçacak bir Valkyrie çağır;піднесіть корисне підношення, щоб покликати валькірію в політ до Гільдір;献上有用的供品，召唤女武神飞往希尔德;獻上有用的供品，召喚女武神飛往希爾德
pw_ward_offering_bogwitchitem_description;offer a fitting tribute to summon a Valkyrie for a flight to the Bog Witch;преподнести подходящее подношение, чтобы призвать валькирию для полёта к Болотной ведьме;bringe eine passende Gabe dar, um eine Walküre zum Flug zur Sumpfhexe zu rufen;ofrece un tributo adecuado para llamar a una valquiria en vuelo hacia la Bruja del Pantano;přines vhodnou poctu a přivolej valkýru k letu za Bažinnou čarodějnicí;bied een passende gave aan om een valkyrie op te roepen voor een vlucht naar de Moerasheks;offre un tribut approprié pour appeler une Valkyrie en vol vers la Sorcière des marais;ふさわしい捧げ物を供え、沼の魔女へ飛ぶヴァルキリーを呼ぶ;알맞은 공물을 바쳐 늪지 마녀에게 날아갈 발키리를 부릅니다;złóż właściwą daninę, aby wezwać Walkirię do lotu ku Wiedźmie z Bagien;ofereça um tributo adequado para chamar uma Valquíria em voo até a Bruxa do Pântano;uygun bir adak sunarak Bataklık Cadısı’na uçacak bir Valkyrie çağır;піднесіть належне підношення, щоб покликати валькірію в політ до Болотної відьми;献上合适的供品，召唤女武神飞往沼泽女巫;獻上合適的供品，召喚女武神飛往沼澤女巫
pw_ward_open_settings;Open settings;Открыть настройки;Einstellungen öffnen;Abrir ajustes;Otevřít nastavení;Instellingen openen;Ouvrir les paramètres;設定を開く;설정 열기;Otwórz ustawienia;Abrir configurações;Ayarları aç;Відкрити налаштування;打开设置;開啟設定
pw_ward_settings_title;Ward settings;Настройки оберега;Wächterstein-Einstellungen;Ajustes de la estatua guardiana;Nastavení strážce;Verzegelingsinstellingen;Paramètres de la balise;守護石の設定;경비석 설정;Ustawienia kamienia strażniczego;Configurações da proteção;Nazarlık ayarları;Налаштування оберега;守护石设置;保護石設定
pw_ward_settings_use_default;Use default;По умолчанию;Standard nutzen;Usar predeterminado;Použít výchozí;Standaard;Par défaut;既定を使用;기본값 사용;Domyślne;Usar padrão;Varsayılan;За замовч.;使用默认;使用預設
pw_ward_settings_value;Value;Значение;Wert;Valor;Hodnota;Waarde;Valeur;値;값;Wartość;Valor;Değer;Значення;值;值
pw_ward_settings_apply;Apply to ward;Применить к оберегу;Auf Wächterstein anwenden;Aplicar a la estatua guardiana;Použít na strážce;Toepassen op verzegeling;Appliquer à la balise;守護石に適用;경비석에 적용;Zastosuj do kamienia strażniczego;Aplicar à proteção;Nazarlığa uygula;Застосувати до оберега;应用到守护石;套用到保護石
pw_ward_settings_cancel;Cancel;Отмена;Abbrechen;Cancelar;Zrušit;Annuleren;Annuler;キャンセル;취소;Anuluj;Cancelar;İptal;Скасувати;取消;取消
pw_ward_settings_applied;Ward settings applied;Настройки оберега применены;Wächterstein-Einstellungen angewendet;Ajustes de la estatua guardiana aplicados;Nastavení strážce použito;Verzegelingsinstellingen toegepast;Paramètres de la balise appliqués;守護石の設定を適用しました;경비석 설정이 적용되었습니다;Ustawienia kamienia strażniczego zastosowane;Configurações da proteção aplicadas;Nazarlık ayarları uygulandı;Налаштування оберега застосовано;守护石设置已应用;保護石設定已套用
pw_ward_settings_bubble_enabled;Show sphere;Показывать сферу;Sphäre anzeigen;Mostrar esfera;Zobrazit sféru;Sfeer tonen;Afficher la sphère;球体を表示;구체 표시;Pokaż sferę;Mostrar esfera;Küreyi göster;Показувати сферу;显示球体;顯示球體
pw_ward_settings_bubble_color;Sphere color;Цвет сферы;Sphärenfarbe;Color de la esfera;Barva sféry;Kleur van de sfeer;Couleur de la sphère;球体の色;구체 색상;Kolor sfery;Cor da esfera;Küre rengi;Колір сфери;球体颜色;球體顏色
pw_ward_settings_bubble_refraction;Sphere refraction;Преломление сферы;Sphärenbrechung;Refracción de la esfera;Lom sféry;Breking van de sfeer;Réfraction de la sphère;球体の屈折;구체 굴절;Załamanie sfery;Refração da esfera;Küre kırılması;Заломлення сфери;球体折射;球體折射
pw_ward_settings_bubble_wave;Sphere wave intensity;Искажение сферы;Sphärenwellenstärke;Intensidad de onda de la esfera;Síla vln sféry;Golfsterkte van de sfeer;Intensité d’onde de la sphère;球体の波の強さ;구체 파동 강도;Siła fal sfery;Intensidade de onda da esfera;Küre dalga yoğunluğu;Інтенсивність хвиль сфери;球体波动强度;球體波動強度
pw_ward_settings_bubble_glossiness;Sphere glossiness;Глянец сферы;Sphärenglanz;Brillo de la esfera;Lesk sféry;Glans van de sfeer;Brillance de la sphère;球体の光沢;구체 광택;Połysk sfery;Brilho da esfera;Küre parlaklığı;Глянець сфери;球体光泽;球體光澤
pw_ward_settings_bubble_metallic;Sphere metallic;Металличность сферы;Sphärenmetallizität;Metalizado de la esfera;Kovovost sféry;Metaalgehalte van de sfeer;Métallicité de la sphère;球体の金属感;구체 금속성;Metaliczność sfery;Aspecto metálico da esfera;Küre metalliği;Металічність сфери;球体金属感;球體金屬感
pw_ward_settings_bubble_normal;Sphere normal scale;Масштаб нормалей сферы;Normalen-Skalierung der Sphäre;Escala de normales de la esfera;Měřítko normál sféry;Normaalschaal van de sfeer;Échelle des normales de la sphère;球体の法線スケール;구체 노멀 스케일;Skala normalnych sfery;Escala de normais da esfera;Küre normal ölçeği;Масштаб нормалей сфери;球体法线缩放;球體法線縮放
pw_ward_settings_bubble_depth;Sphere depth fade;Затухание глубины сферы;Tiefenausblendung der Sphäre;Desvanecimiento de profundidad de la esfera;Útlum hloubky sféry;Dieptevervaging van de sfeer;Fondu de profondeur de la sphère;球体の深度フェード;구체 깊이 페이드;Zanikanie głębi sfery;Esmaecimento de profundidade da esfera;Küre derinlik sönümü;Згасання глибини сфери;球体深度淡化;球體深度淡化
pw_ward_settings_custom_range;Use custom range;Использовать свой радиус;Eigenen Radius nutzen;Usar radio propio;Použít vlastní dosah;Eigen bereik gebruiken;Utiliser un rayon personnalisé;独自の範囲を使用;사용자 범위 사용;Użyj własnego zasięgu;Usar alcance próprio;Özel menzil kullan;Використовувати свій радіус;使用自定义范围;使用自訂範圍
pw_ward_settings_range;Ward range;Радиус оберега;Wächterstein-Radius;Radio de la estatua guardiana;Dosah strážce;Verzegelingsbereik;Rayon de la balise;守護石の範囲;경비석 범위;Zasięg kamienia strażniczego;Alcance da proteção;Nazarlık menzili;Радіус оберега;守护石范围;保護石範圍
pw_ward_settings_emission_enabled;Use custom glow color;Использовать свой цвет свечения;Eigene Leuchtfarbe nutzen;Usar color de brillo propio;Použít vlastní barvu záře;Eigen gloedkleur gebruiken;Utiliser une couleur de lueur personnalisée;独自の発光色を使用;사용자 빛 색상 사용;Użyj własnego koloru poświaty;Usar cor de brilho própria;Özel parıltı rengi kullan;Використовувати свій колір світіння;使用自定义发光颜色;使用自訂發光顏色
